StateFIPS,State,CountyFIPS,County,Year,PM25,Data Comment
1,Alabama,1001,Autauga,2001,13.2,Modeled
1,Alabama,1001,Autauga,2002,12.5,Modeled
1,Alabama,1001,Autauga,2003,12.9,Modeled
1,Alabama,1001,Autauga,2004,13.1,Modeled
1,Alabama,1001,Autauga,2005,13.5,Modeled
1,Alabama,1001,Autauga,2006,13.6,Modeled
1,Alabama,1001,Autauga,2007,14.5,Modeled
1,Alabama,1001,Autauga,2008,12.5,Modeled
1,Alabama,1001,Autauga,2009,10.3,Modeled
1,Alabama,1001,Autauga,2010,11.1,Modeled
1,Alabama,1001,Autauga,2011,11.1,Modeled
1,Alabama,1001,Autauga,2012,10.8,Modeled
1,Alabama,1001,Autauga,2013,10.5,Modeled
1,Alabama,1001,Autauga,2014,11.7,Modeled
1,Alabama,1001,Autauga,2015,10.8,Modeled
1,Alabama,1001,Autauga,2016,10.4,Modeled
1,Alabama,1001,Autauga,2017,10,Modeled
1,Alabama,1001,Autauga,2018,9.5,Modeled
1,Alabama,1001,Autauga,2019,10,Modeled
1,Alabama,1003,Baldwin,2001,10.6,
1,Alabama,1003,Baldwin,2002,10.2,
1,Alabama,1003,Baldwin,2003,12.2,
1,Alabama,1003,Baldwin,2004,11.4,
1,Alabama,1003,Baldwin,2005,11.6,
1,Alabama,1003,Baldwin,2006,11.3,
1,Alabama,1003,Baldwin,2007,10.4,
1,Alabama,1003,Baldwin,2008,9.6,
1,Alabama,1003,Baldwin,2009,9.3,
1,Alabama,1003,Baldwin,2010,10.2,
1,Alabama,1003,Baldwin,2011,10,
1,Alabama,1003,Baldwin,2012,9.2,
1,Alabama,1003,Baldwin,2013,8.4,
1,Alabama,1003,Baldwin,2014,8.9,
1,Alabama,1003,Baldwin,2015,8.6,
1,Alabama,1003,Baldwin,2016,7.2,
1,Alabama,1003,Baldwin,2017,7.4,
1,Alabama,1003,Baldwin,2018,7.2,
1,Alabama,1003,Baldwin,2019,7.6,
1,Alabama,1005,Barbour,2001,12.4,Modeled
1,Alabama,1005,Barbour,2002,11.4,Modeled
1,Alabama,1005,Barbour,2003,11.5,Modeled
1,Alabama,1005,Barbour,2004,12.5,Modeled
