"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","1995","3,475","",
"01","Alabama","1996","3,530","",
"01","Alabama","1997","3,571","",
"01","Alabama","1998","3,478","",
"01","Alabama","1999","3,519","",
"01","Alabama","2000","3,520","",
"01","Alabama","2001","3,512","",
"01","Alabama","2002","3,585","",
"01","Alabama","2003","3,441","",
"01","Alabama","2004","3,487","",
"01","Alabama","2005","2,940","",
"01","Alabama","2006","3,100","",
"01","Alabama","2007","3,074","",
"01","Alabama","2008","3,142","",
"01","Alabama","2009","3,054","",
"01","Alabama","2010","3,160","",
"01","Alabama","2011","3,572","",
"01","Alabama","2012","3,456","",
"01","Alabama","2013","3,408","",
"01","Alabama","2014","3,739","",
"01","Alabama","2015","3,677","",
"01","Alabama","2016","3,952","",
"01","Alabama","2017","3,907","",
"01","Alabama","2018","3,818","",
"01","Alabama","2019","4,023","",
"01","Alabama","2020","4,092","",
"02","Alaska","1995","1,339","",
"02","Alaska","1996","1,403","",
"02","Alaska","1997","1,410","",
"02","Alaska","1998","1,315","",
"02","Alaska","1999","1,381","",
"02","Alaska","2000","1,385","",
"02","Alaska","2001","1,349","",
"02","Alaska","2002","1,394","",
"02","Alaska","2003","1,347","",
"02","Alaska","2004","1,746","",
"02","Alaska","2005","1,476","",
"02","Alaska","2006","1,360","",
"02","Alaska","2007","1,400","",
"02","Alaska","2008","1,366","",
"02","Alaska","2009","1,558","",
"02","Alaska","2010","1,416","",
"02","Alaska","2011","1,515","",
"02","Alaska","2012","1,465","",
"02","Alaska","2013","1,560","",
"02","Alaska","2014","1,627","",
"02","Alaska","2015","1,722","",
"02","Alaska","2016","1,848","",
"02","Alaska","2017","1,786","",
"02","Alaska","2018","1,866","",
"02","Alaska","2019","1,996","",
"02","Alaska","2020","1,957","",
"04","Arizona","1995","3,688","",
"04","Arizona","1996","3,743","",
"04","Arizona","1997","3,788","",
"04","Arizona","1998","3,650","",
"04","Arizona","1999","3,718","",
"04","Arizona","2000","3,753","",
"04","Arizona","2001","3,688","",
"04","Arizona","2002","3,754","",
"04","Arizona","2003","3,634","",
"04","Arizona","2004","3,670","",
"04","Arizona","2005","3,603","",
"04","Arizona","2006","3,569","",
"04","Arizona","2007","3,576","",
"04","Arizona","2008","3,716","",
"04","Arizona","2009","3,679","",
"04","Arizona","2010","3,550","",
"04","Arizona","2011","4,049","",
"04","Arizona","2012","4,191","",
"04","Arizona","2013","4,161","",
"04","Arizona","2014","4,174","",
"04","Arizona","2015","4,202","",
"04","Arizona","2016","4,428","",
"04","Arizona","2017","4,451","",
"04","Arizona","2018","4,277","",
"04","Arizona","2019","4,457","",
"04","Arizona","2020","4,931","",
"05","Arkansas","1995","3,276","",
"05","Arkansas","1996","3,318","",
"05","Arkansas","1997","3,354","",
"05","Arkansas","1998","3,264","",
"05","Arkansas","1999","3,342","",
"05","Arkansas","2000","3,340","",
"05","Arkansas","2001","3,278","",
"05","Arkansas","2002","3,347","",
"05","Arkansas","2003","3,223","",
"05","Arkansas","2004","3,257","",
"05","Arkansas","2005","2,864","",
"05","Arkansas","2006","2,876","",
"05","Arkansas","2007","2,816","",
"05","Arkansas","2008","2,852","",
"05","Arkansas","2009","2,858","",
"05","Arkansas","2010","2,915","",
"05","Arkansas","2011","3,322","",
"05","Arkansas","2012","3,433","",
"05","Arkansas","2013","3,276","",
"05","Arkansas","2014","3,363","",
"05","Arkansas","2015","3,469","",
"05","Arkansas","2016","3,680","",
"05","Arkansas","2017","3,816","",
"05","Arkansas","2018","3,729","",
"05","Arkansas","2019","3,686","",
"05","Arkansas","2020","4,103","",
"06","California","1995","3,145","",
"06","California","1996","3,171","",
"06","California","1997","3,207","",
"06","California","1998","2,966","",
"06","California","1999","3,085","",
"06","California","2000","3,160","",
"06","California","2001","3,119","",
"06","California","2002","3,084","",
"06","California","2003","3,065","",
"06","California","2004","3,115","",
"06","California","2005","3,058","",
"06","California","2006","3,057","",
"06","California","2007","3,226","",
"06","California","2008","3,257","",
"06","California","2009","3,208","",
"06","California","2010","2,955","",
"06","California","2011","3,367","",
"06","California","2012","3,600","",
"06","California","2013","3,776","",
"06","California","2014","3,852","",
"06","California","2015","3,899","",
"06","California","2016","4,131","",
"06","California","2017","4,047","",
"06","California","2018","3,969","",
"06","California","2019","4,076","",
"06","California","2020","4,541","",
"08","Colorado","1995","3,299","",
"08","Colorado","1996","3,360","",
"08","Colorado","1997","3,393","",
"08","Colorado","1998","3,253","",
"08","Colorado","1999","3,318","",
"08","Colorado","2000","3,390","",
"08","Colorado","2001","3,302","",
"08","Colorado","2002","3,310","",
"08","Colorado","2003","3,242","",
"08","Colorado","2004","3,320","",
"08","Colorado","2005","3,426","",
"08","Colorado","2006","3,453","",
"08","Colorado","2007","3,413","",
"08","Colorado","2008","3,459","",
"08","Colorado","2009","3,352","",
"08","Colorado","2010","3,241","",
"08","Colorado","2011","3,508","",
"08","Colorado","2012","3,662","",
"08","Colorado","2013","3,457","",
"08","Colorado","2014","3,635","",
"08","Colorado","2015","3,775","",
"08","Colorado","2016","4,190","",
"08","Colorado","2017","4,180","",
"08","Colorado","2018","4,203","",
"08","Colorado","2019","4,305","",
"08","Colorado","2020","4,474","",
"09","Connecticut","1995","2,583","",
"09","Connecticut","1996","2,592","",
"09","Connecticut","1997","2,586","",
"09","Connecticut","1998","2,467","",
"09","Connecticut","1999","2,586","",
"09","Connecticut","2000","2,579","",
"09","Connecticut","2001","2,529","",
"09","Connecticut","2002","2,580","",
"09","Connecticut","2003","2,547","",
"09","Connecticut","2004","2,606","",
"09","Connecticut","2005","2,088","",
"09","Connecticut","2006","2,026","",
"09","Connecticut","2007","2,211","",
"09","Connecticut","2008","2,184","",
"09","Connecticut","2009","2,111","",
"09","Connecticut","2010","2,174","",
"09","Connecticut","2011","2,369","",
"09","Connecticut","2012","2,374","",
"09","Connecticut","2013","2,491","",
"09","Connecticut","2014","2,557","",
"09","Connecticut","2015","2,658","",
"09","Connecticut","2016","3,093","",
"09","Connecticut","2017","2,693","",
"09","Connecticut","2018","2,770","",
"09","Connecticut","2019","2,945","",
"09","Connecticut","2020","3,100","",
"10","Delaware","1995","2,814","",
"10","Delaware","1996","2,833","",
"10","Delaware","1997","2,831","",
"10","Delaware","1998","2,702","",
"10","Delaware","1999","2,809","",
"10","Delaware","2000","2,811","",
"10","Delaware","2001","2,765","",
"10","Delaware","2002","2,838","",
"10","Delaware","2003","2,765","",
"10","Delaware","2004","2,822","",
"10","Delaware","2005","2,291","",
"10","Delaware","2006","2,348","",
"10","Delaware","2007","2,431","",
"10","Delaware","2008","2,433","",
"10","Delaware","2009","2,331","",
"10","Delaware","2010","2,375","",
"10","Delaware","2011","2,630","",
"10","Delaware","2012","2,678","",
"10","Delaware","2013","2,534","",
"10","Delaware","2014","2,520","",
"10","Delaware","2015","2,863","",
"10","Delaware","2016","3,148","",
"10","Delaware","2017","3,767","",
"10","Delaware","2018","3,062","",
"10","Delaware","2019","3,248","",
"10","Delaware","2020","3,512","",
"11","District of Columbia","1995","2,860","",
"11","District of Columbia","1996","2,868","",
"11","District of Columbia","1997","2,871","",
"11","District of Columbia","1998","2,747","",
"11","District of Columbia","1999","2,851","",
"11","District of Columbia","2000","2,851","",
"11","District of Columbia","2001","2,809","",
"11","District of Columbia","2002","2,878","",
"11","District of Columbia","2003","2,792","",
"11","District of Columbia","2004","2,868","",
"11","District of Columbia","2005","2,314","",
"11","District of Columbia","2006","2,323","",
"11","District of Columbia","2007","2,404","",
"11","District of Columbia","2008","2,425","",
"11","District of Columbia","2009","2,335","",
