"StateFIPS","State","Year","Value","Data Comment","Gender","Race Ethnicity"
"01","Alabama","2001","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2001","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2001","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2001","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2001","342","","Male","White (includes Hispanic)"
"01","Alabama","2001","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2001","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2001","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2001","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2001","282","","Female","White (includes Hispanic)"
"01","Alabama","2002","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2002","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2002","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2002","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2002","335","","Male","White (includes Hispanic)"
"01","Alabama","2002","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2002","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2002","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2002","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2002","280","","Female","White (includes Hispanic)"
"01","Alabama","2003","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2003","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2003","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2003","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2003","366","","Male","White (includes Hispanic)"
"01","Alabama","2003","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2003","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2003","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2003","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2003","263","","Female","White (includes Hispanic)"
"01","Alabama","2004","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2004","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2004","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2004","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2004","410","","Male","White (includes Hispanic)"
"01","Alabama","2004","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2004","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2004","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2004","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2004","312","","Female","White (includes Hispanic)"
"01","Alabama","2005","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2005","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2005","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2005","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2005","541","","Male","White (includes Hispanic)"
"01","Alabama","2005","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2005","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2005","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2005","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2005","365","","Female","White (includes Hispanic)"
"01","Alabama","2006","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2006","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2006","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2006","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2006","535","","Male","White (includes Hispanic)"
"01","Alabama","2006","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2006","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2006","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2006","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2006","362","","Female","White (includes Hispanic)"
"01","Alabama","2007","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2007","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2007","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2007","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2007","576","","Male","White (includes Hispanic)"
"01","Alabama","2007","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2007","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2007","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2007","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2007","382","","Female","White (includes Hispanic)"
"01","Alabama","2008","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2008","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2008","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2008","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2008","632","","Male","White (includes Hispanic)"
"01","Alabama","2008","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2008","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2008","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2008","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2008","419","","Female","White (includes Hispanic)"
"01","Alabama","2009","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2009","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2009","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2009","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2009","680","","Male","White (includes Hispanic)"
"01","Alabama","2009","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2009","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2009","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2009","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2009","463","","Female","White (includes Hispanic)"
"01","Alabama","2010","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2010","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2010","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2010","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2010","671","","Male","White (includes Hispanic)"
"01","Alabama","2010","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2010","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2010","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2010","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2010","452","","Female","White (includes Hispanic)"
"01","Alabama","2011","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2011","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","680","","Male","White (includes Hispanic)"
"01","Alabama","2011","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2011","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","413","","Female","White (includes Hispanic)"
"01","Alabama","2012","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2012","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","700","","Male","White (includes Hispanic)"
"01","Alabama","2012","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2012","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","498","","Female","White (includes Hispanic)"
"01","Alabama","2013","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2013","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","615","","Male","White (includes Hispanic)"
"01","Alabama","2013","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2013","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","403","","Female","White (includes Hispanic)"
"01","Alabama","2014","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2014","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2014","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","633","","Male","White (includes Hispanic)"
"01","Alabama","2014","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2014","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2014","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","412","","Female","White (includes Hispanic)"
"01","Alabama","2015","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2015","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","774","","Male","White (includes Hispanic)"
"01","Alabama","2015","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2015","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","480","","Female","White (includes Hispanic)"
"01","Alabama","2016","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2016","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","827","","Male","White (includes Hispanic)"
"01","Alabama","2016","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2016","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","544","","Female","White (includes Hispanic)"
"01","Alabama","2017","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2017","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","747","","Male","White (includes Hispanic)"
"01","Alabama","2017","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2017","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","568","","Female","White (includes Hispanic)"
"01","Alabama","2018","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2018","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","759","","Male","White (includes Hispanic)"
"01","Alabama","2018","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","Suppressed","","Female","Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","","Female","Hispanic (all races)"
"01","Alabama","2018","Suppressed","","Female","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","583","","Female","White (includes Hispanic)"
"01","Alabama","2019","Suppressed","","Male","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","Suppressed","","Male","Black (includes Hispanic)"
"01","Alabama","2019","Suppressed","","Male","Hispanic (all races)"
"01","Alabama","2019","Suppressed","","Male","American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2019","675","","Male","White (includes Hispanic)"
"01","Alabama","2019","Suppressed","","Female","Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","Suppressed","","Female","Black (includes Hispanic)"
